28.11.13.00.00.00.12.16.1;двигатель внутреннего сгорания поршневой;двигатель поршневой с воспламенением от сжатия (дизели или полудизели) для промышленного применения мощностью более 300 кВт, но не более 500 кВт;Штука
28.11.13.00.00.00.12.17.1;двигатель внутреннего сгорания поршневой;двигатель поршневой с воспламенением от сжатия (дизели или полудизели) для промышленного применения мощностью более 500 кВт, но не более 1000 кВт;Штука
28.11.13.00.00.00.12.18.1;двигатель внутреннего сгорания поршневой;двигатель поршневой с воспламенением от сжатия (дизели или полудизели) для промышленного применения мощностью более 1000 кВт;Штука
28.11.13.00.00.00.12.19.1;двигатель внутреннего сгорания поршневой;двигатель поршневой с воспламенением от сжатия (дизели или полудизели) для промышленного применения мощностью более 1000 кВт, но не более 5000 кВт;Штука
28.11.13.00.00.00.12.20.1;двигатель внутреннего сгорания поршневой;двигатель поршневой с воспламенением от сжатия (дизели или полудизели) для промышленного применения мощностью более 5000 кВт;Штука
28.11.13.00.00.00.13.10.1;двигатель внутреннего сгорания поршневой;Дизели или полудизели, бывшие в употреблении;Штука
28.11.13.00.00.00.14.10.1;двигатель внутреннего сгорания поршневой;двигатель для силовых судовых установок, бывшие в употреблении;Штука
28.11.21.00.00.00.10.11.1;энергетическая паровая турбина;турбина паровая энергетическая (паровая стационарный турбина для привода электрических генераторов) мощностью не более 10 МВт;Штука
28.11.21.00.00.00.10.12.1;энергетическая паровая турбина;турбина паровая энергетическая (паровая стационарный турбина для привода электрических генераторов) мощностью более 10 МВт, но не более 40 МВт;Штука
28.11.21.00.00.00.10.13.1;энергетическая паровая турбина;турбина паровая энергетическая (паровая стационарный турбина для привода электрических генераторов мощностью более 40 МВт;Штука
28.11.21.00.00.00.10.14.1;энергетическая паровая турбина;турбина паровая энергетическая (кроме паровых турбин для атомных электростанций) мощностью более 40 МВт;Штука
28.11.21.00.00.00.11.10.1;промышленная паровая турбина;производит электрическую энергию и теплоты;Штука
28.11.21.00.00.00.12.10.1;вспомогательная паровая турбина;используется для обеспечения технологического процесса производства электроэнергии на ТЭС и АЭС в качестве привода питательных насосов (ТЭС и АЭС) и воздуходувок парогенераторов (ТЭС).;Штука
28.11.21.00.00.00.12.11.1;конденсационная паровая турбина;конденсационная паровая турбина служит для превращения максимально возможной части теплоты пара в механическую работу, работает с выпуском (выхлопом) отработавшего пара в конденсатор, в котором поддерживается вакуум;Штука
28.11.21.00.00.00.12.12.1;теплофикационная паровая турбина;теплофикационная паровая турбина служит для одновременного получения электрической и тепловой энергии. ;Штука
28.11.21.00.00.00.12.13.1;турбина специального назначения;относится турбины мятого (дросселированного) пара, турбины двух давлений и предвключённые (форшальт).;Штука
28.11.22.00.00.00.10.10.1;турбина гидравлическая и колесо водяное;турбина гидравлическая и колесо водяное мощностью не более 1000 кВт;Штука
28.11.22.00.00.00.10.11.1;турбина гидравлическая и колесо водяное;турбина гидравлическая и колесо водяное мощностью более 1000 кВт, но не более 10 000 кВт;Штука
28.11.22.00.00.00.10.12.1;турбина гидравлическая и колесо водяное;турбина гидравлическая и колесо водяное мощностью более 10 000 кВт;Штука
